"DateTime","Bus","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","255",0.00,0.00,9.88,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","256",0.00,0.00,9.93,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","257",0.00,6.46,10.13,0.00,32.73,0.00,0.00
"20-OCT-2013 07:30","258",0.00,0.00,10.13,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","259",0.00,0.00,10.14,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","260",22.00,0.00,9.71,106.77,0.00,0.00,0.00
"20-OCT-2013 07:30","261",0.00,0.00,9.85,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","262",0.00,0.00,9.71,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","263",0.00,24.24,10.15,0.00,123.02,0.00,0.00
"20-OCT-2013 07:30","264",0.00,0.00,10.14,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","265",0.00,0.00,10.07,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","267",0.00,0.00,10.05,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","268",0.00,0.00,10.12,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","269",0.00,0.00,10.11,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","270",0.00,0.00,10.11,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","271",0.00,3.08,10.11,0.00,15.57,0.00,0.00
"20-OCT-2013 07:30","272",0.00,12.03,10.18,0.00,61.23,0.00,0.00
"20-OCT-2013 07:30","273",0.00,26.95,10.14,0.00,136.57,0.00,0.00
"20-OCT-2013 07:30","274",0.00,0.00,10.08,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","275",0.00,6.46,10.09,0.00,32.63,0.00,0.00
"20-OCT-2013 07:30","276",0.00,0.00,10.04,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","277",0.00,0.00,10.04,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","278",0.00,10.73,10.14,0.00,54.38,0.00,0.00
"20-OCT-2013 07:30","279",0.00,32.41,10.14,0.00,164.29,0.00,0.00
"20-OCT-2013 07:30","280",0.00,0.00,10.13,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","281",0.00,12.63,10.11,0.00,63.84,0.00,0.00
"20-OCT-2013 07:30","282",0.00,0.00,10.09,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","283",30.00,0.00,10.14,152.07,0.00,0.00,0.00
"20-OCT-2013 07:30","284",0.00,0.00,10.14,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","285",0.00,0.00,9.75,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","286",0.00,0.00,9.70,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","287",12.00,0.00,10.08,60.46,0.00,0.00,0.00
"20-OCT-2013 07:30","288",0.00,0.00,10.08,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","289",0.00,6.74,10.12,0.00,34.13,0.00,0.00
"20-OCT-2013 07:30","290",0.00,0.00,10.11,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","291",0.00,0.00,10.09,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","292",101.00,0.00,9.88,498.99,0.00,0.00,0.00
"20-OCT-2013 07:30","293",0.00,0.00,9.88,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","294",2.83,0.00,10.17,14.41,0.00,0.00,0.00
"20-OCT-2013 07:30","295",0.00,0.00,10.17,0.00,0.00,0.00,0.00
"20-OCT-2013 07:30","296",2.75,0.00,10.17,13.99,0.00,0.00,0.00
"20-OCT-2013 07:30","297",0.00,0.24,10.21,0.00,1.20,0.00,0.00
"20-OCT-2013 07:30","298",2.83,0.00,10.17,14.41,0.00,0.00,0.00
"20-OCT-2013 07:30","299",2.83,0.00,10.17,14.41,0.00,0.00,0.00
"20-OCT-2013 07:30","300",0.00,0.00,10.17,0.00,0.00,0.00,0.00
