"DateTime","Branch","FromBus","ToBus","Flow (MW) (From->To)","Capacity (MW)","DynamicLoss (MW)","FixedLoss (MW)","FromBusPrice ($/MWh)","ToBusPrice ($/MWh)","BranchPrice ($/MWh)","BranchRentals ($)"
"20-OCT-2013 07:30","OHK_WRK.1","186","229",-195.15,405.06,1.90,0.00,9.96,9.76,0.00,9.71
"20-OCT-2013 07:30","OHW_OTA1.1","155","79",94.96,643.60,0.95,0.00,10.30,10.38,0.00,-0.87
"20-OCT-2013 07:30","OHW_OTA2.1","155","78",94.63,643.60,0.95,0.00,10.30,10.38,0.00,-0.88
"20-OCT-2013 07:30","OHW_WKM1.1","155","199",-113.63,644.00,1.85,0.00,10.30,10.16,0.00,-1.67
"20-OCT-2013 07:30","OKE_OWH.1","265","267",-8.51,63.00,0.02,0.00,10.07,10.05,0.00,-0.01
"20-OCT-2013 07:30","OKE_TMI.1","265","282",12.99,70.68,0.08,0.00,10.07,10.09,0.00,-0.25
"20-OCT-2013 07:30","OKE_TRK.1","265","276",-4.53,70.68,0.02,0.00,10.07,10.04,0.00,-0.06
"20-OCT-2013 07:30","OKI_T1.T1","239","235",-17.12,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.H11","235","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.L11","230","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T11.M11","234","237",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.L12","231","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.M12","232","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T12.T12","236","238",0.00,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T2.T2","239","236",-17.12,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_T5.T5","239","233",-3.77,2000.00,0.00,0.00,9.73,9.73,0.00,0.00
"20-OCT-2013 07:30","OKI_WRK1.1","239","229",32.76,481.00,0.11,0.00,9.73,9.76,0.00,0.00
"20-OCT-2013 07:30","OKN_ONG1.1","398","399",15.13,63.83,0.10,0.00,10.30,10.30,0.00,-0.48
"20-OCT-2013 07:30","OKN_ONG1.2","146","399",-13.49,63.83,0.15,0.00,10.31,10.30,0.00,-0.76
