"DateTime","Node","Generation (MW)","Load (MW)","Price ($/MWh)","Revenue ($)","Cost ($)","Deficit(MW)","Surplus(MW)"
"20-OCT-2013 07:30","ARA2201 ARA0",27.00000,0.00000,9.75657,131.71371,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ARG1101 BRR0",11.00000,0.00000,9.64266,53.03463,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ARI1101 ARI0",46.00000,0.00000,9.79833,225.36170,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ARI1102 ARI0",21.00000,0.00000,10.27893,107.92872,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ASB0661 HBK0",15.00000,0.00000,9.26008,69.45063,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","ATI2201 ATI0",15.01309,0.00000,10.00000,75.06547,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","AVI2201 AVI0",96.25300,0.00000,9.04434,435.27231,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","BEN2202 BEN0",238.62600,0.00000,9.06099,1081.09425,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","BOB1101",0.00000,23.47000,10.50957,0.00000,123.32976,0.00000,0.00000
"20-OCT-2013 07:30","BPE0331 TWF0",0.00000,0.00000,9.78796,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","BWK1101 WPI0",0.00000,0.00000,9.17097,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","COB0661 COB0",0.00000,0.00000,9.90618,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","COL0661 COL0",39.00000,0.00000,8.67568,169.17577,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","CPK0331",0.00000,61.72900,9.64862,0.00000,297.79985,0.00000,0.00000
"20-OCT-2013 07:30","CYD2201 CYD0",165.00000,0.00000,8.98085,740.92023,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","GLN0332 GLN0",37.00000,0.00000,10.39200,192.25204,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HAM0331",0.00000,56.85000,10.34832,0.00000,294.15109,0.00000,0.00000
"20-OCT-2013 07:30","HIN0331",0.00000,32.95700,10.85765,0.00000,178.91775,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY1",0.00000,0.00000,10.28264,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY2",0.00000,0.00000,10.28264,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY3",0.00000,0.00000,10.28264,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY4",0.00000,0.00000,10.28264,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY5",290.00000,0.00000,10.28264,1490.98241,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HLY2201 HLY6",0.00000,0.00000,10.28264,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWA1101 PTA1",10.50000,0.00000,9.92171,52.08895,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWA1101 PTA2",10.50000,0.00000,9.92171,52.08895,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWA1101 PTA3",0.00000,0.00000,9.92171,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWA1102 WAA0",7.00000,0.00000,9.92171,34.72597,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWA1102 WAA1",7.00000,0.00000,9.92171,34.72597,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWB0331 MAH0",0.00000,0.00000,9.08697,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","HWB0331 WPI0",0.00000,0.00000,9.08697,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KAW0111",0.00000,7.43000,9.89846,0.00000,36.77277,0.00000,0.00000
"20-OCT-2013 07:30","KAW0112",0.00000,10.33900,9.86876,0.00000,51.01657,0.00000,0.00000
"20-OCT-2013 07:30","KAW0112 ONU0",20.00000,0.00000,9.86876,98.68762,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KAW0113",0.00000,38.75500,9.94017,0.00000,192.61573,0.00000,0.00000
"20-OCT-2013 07:30","KAW1101 KAG0",101.00000,0.00000,9.88104,498.99246,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KEN0331",0.00000,32.39300,10.87603,0.00000,176.15357,0.00000,0.00000
"20-OCT-2013 07:30","KIN0112 KIN0",35.00000,0.00000,10.15569,177.72465,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KIN0331",0.00000,9.89900,10.18945,0.00000,50.43267,0.00000,0.00000
"20-OCT-2013 07:30","KPA1101 KPI1",18.00000,0.00000,9.89944,89.09494,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KPO1101 KPO0",46.00000,0.00000,10.56816,243.06759,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","KPU0661",0.00000,24.92500,10.75172,0.00000,133.99336,0.00000,0.00000
"20-OCT-2013 07:30","KUM0661 KUM0",3.50000,0.00000,9.18690,16.07708,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","LTN0331 TWF0",0.00000,0.00000,9.75739,0.00000,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","MAN2201 MAN0",380.00000,0.00000,8.83245,1678.16481,0.00000,0.00000,0.00000
"20-OCT-2013 07:30","MAT1101 ANI0",16.50000,0.00000,9.85008,81.26314,0.00000,0.00000,0.00000
