"DateTime","Offer","Generation (MW)","FIR (MW)","SIR (MW)"
"20-OCT-2013 07:30","TUI1101 KTW0",0.00,0.00,0.00
"20-OCT-2013 07:30","TUI1101 PRI0",5.50,3.40,10.00
"20-OCT-2013 07:30","TUI1101 TUI0",8.50,0.00,10.00
"20-OCT-2013 07:30","TWC2201 NZW0",0.00,0.00,0.00
"20-OCT-2013 07:30","TWC2201 TWF0",0.00,0.00,0.00
"20-OCT-2013 07:30","TWH0331 TRC1",42.00,0.00,0.00
"20-OCT-2013 07:30","TWH0331 TUK0",0.00,0.00,0.00
"20-OCT-2013 07:30","WDV1101 TAP0",0.00,0.00,0.00
"20-OCT-2013 07:30","WGN0331",0.00,0.00,0.00
"20-OCT-2013 07:30","WHI0111",0.00,40.00,40.00
"20-OCT-2013 07:30","WHI2201 WHI0",0.00,0.00,0.00
"20-OCT-2013 07:30","WHU0331",0.00,0.00,0.80
"20-OCT-2013 07:30","WKM2201 MOK0",113.00,0.00,0.00
"20-OCT-2013 07:30","WKM2201 WKM0",46.00,0.00,0.00
"20-OCT-2013 07:30","WKO0331",0.00,0.00,1.00
"20-OCT-2013 07:30","WPA2201 WPA0",22.00,0.00,9.00
"20-OCT-2013 07:30","WRK0331",0.00,0.00,0.00
"20-OCT-2013 07:30","WRK0331 RKA0",33.00,0.00,0.00
"20-OCT-2013 07:30","WRK0331 TAA0",24.00,0.00,0.00
"20-OCT-2013 07:30","WRK2201 WRK0",145.00,0.00,0.00
"20-OCT-2013 07:30","WTK0111 WTK0",50.00,0.92,3.00
"20-OCT-2013 07:30","WWD1102 WWD0",0.00,0.00,0.00
"20-OCT-2013 07:30","WWD1103 WWD0",0.00,0.00,0.00
